,page,href
0,0,showthread.php?t=20016093
1,0,showthread.php?t=8594414
2,0,showthread.php?t=12069815
3,0,showthread.php?t=19881195
4,0,showthread.php?t=19801135
5,0,showthread.php?t=6495493
6,0,showthread.php?t=20070930
7,0,showthread.php?t=20071896
8,0,showthread.php?t=20071879
9,0,showthread.php?t=20070553
10,0,showthread.php?t=20071796
11,0,showthread.php?t=20071635
12,0,showthread.php?t=20071903
13,0,showthread.php?t=20071897
14,0,showthread.php?t=20071730
15,0,showthread.php?t=20071717
16,0,showthread.php?t=20071795
17,0,showthread.php?t=20049465
18,0,showthread.php?t=20070882
19,0,showthread.php?t=20070383
20,0,showthread.php?t=20071453
21,0,showthread.php?t=20061000
22,0,showthread.php?t=20070444
23,0,showthread.php?t=20047197
24,0,showthread.php?t=20071617
25,0,showthread.php?t=20071803
26,0,showthread.php?t=20071739
27,0,showthread.php?t=20071091
28,0,showthread.php?t=20071765
29,0,showthread.php?t=20071625
30,0,showthread.php?t=20071653
31,1,showthread.php?t=20071653
32,1,showthread.php?t=20071660
33,1,showthread.php?t=20071437
34,1,showthread.php?t=17850720
35,1,showthread.php?t=20068322
36,1,showthread.php?t=20058257
37,1,showthread.php?t=20071624
38,1,showthread.php?t=20071622
39,1,showthread.php?t=20071245
40,1,showthread.php?t=20071305
41,1,showthread.php?t=20071054
42,1,showthread.php?t=20071310
43,1,showthread.php?t=20071433
44,1,showthread.php?t=20071389
45,1,showthread.php?t=20071401
46,1,showthread.php?t=20071359
47,1,showthread.php?t=20071483
48,1,showthread.php?t=20071008
49,1,showthread.php?t=20070422
50,1,showthread.php?t=20071466
51,1,showthread.php?t=20071517
52,1,showthread.php?t=20071088
53,1,showthread.php?t=20071463
54,1,showthread.php?t=20071444
55,1,showthread.php?t=20068788
56,2,showthread.php?t=20071377
57,2,showthread.php?t=20071391
58,2,showthread.php?t=20069338
59,2,showthread.php?t=20071294
60,2,showthread.php?t=20070518
61,2,showthread.php?t=20070954
62,2,showthread.php?t=20070934
63,2,showthread.php?t=20071345
64,2,showthread.php?t=20071226
65,2,showthread.php?t=20068712
66,2,showthread.php?t=20071263
67,2,showthread.php?t=20071049
68,2,showthread.php?t=20071223
69,2,showthread.php?t=20070238
70,2,showthread.php?t=20071074
71,2,showthread.php?t=20070898
72,2,showthread.php?t=18405649
73,2,showthread.php?t=20068573
74,2,showthread.php?t=20070543
75,2,showthread.php?t=20070948
76,2,showthread.php?t=20070053
77,2,showthread.php?t=20070434
78,2,showthread.php?t=19936523
79,2,showthread.php?t=20070769
80,2,showthread.php?t=20070715
81,3,showthread.php?t=20070715
82,3,showthread.php?t=20069139
83,3,showthread.php?t=20070837
84,3,showthread.php?t=20070573
85,3,showthread.php?t=20070719
86,3,showthread.php?t=20070742
87,3,showthread.php?t=20069568
88,3,showthread.php?t=20070645
89,3,showthread.php?t=20069691
90,3,showthread.php?t=20070759
91,3,showthread.php?t=20070623
92,3,showthread.php?t=20070608
93,3,showthread.php?t=20070495
94,3,showthread.php?t=19602979
95,3,showthread.php?t=20069908
96,3,showthread.php?t=20068827
97,3,showthread.php?t=20069513
98,3,showthread.php?t=20070587
99,3,showthread.php?t=20070544
100,3,showthread.php?t=20070577
101,3,showthread.php?t=20070514
102,3,showthread.php?t=20069844
103,3,showthread.php?t=20070492
104,3,showthread.php?t=20070235
105,3,showthread.php?t=20070432
106,4,showthread.php?t=20070451
107,4,showthread.php?t=20069730
108,4,showthread.php?t=20069887
109,4,showthread.php?t=20070394
110,4,showthread.php?t=20068292
111,4,showthread.php?t=20069194
112,4,showthread.php?t=20069764
113,4,showthread.php?t=20070069
114,4,showthread.php?t=20069846
115,4,showthread.php?t=20070151
116,4,showthread.php?t=20070050
117,4,showthread.php?t=20069835
118,4,showthread.php?t=20070092
119,4,showthread.php?t=20069971
120,4,showthread.php?t=20070141
121,4,showthread.php?t=19685206
122,4,showthread.php?t=20057813
123,4,showthread.php?t=20069286
124,4,showthread.php?t=20069195
125,4,showthread.php?t=20069938
126,4,showthread.php?t=20069953
127,4,showthread.php?t=20069902
128,4,showthread.php?t=20069762
129,4,showthread.php?t=20069639
130,4,showthread.php?t=20068965
131,5,showthread.php?t=20069862
132,5,showthread.php?t=20069484
133,5,showthread.php?t=20069592
134,5,showthread.php?t=20069791
135,5,showthread.php?t=20069772
136,5,showthread.php?t=20069157
137,5,showthread.php?t=20068966
138,5,showthread.php?t=20069551
139,5,showthread.php?t=20069693
140,5,showthread.php?t=20069700
141,5,showthread.php?t=20069575
142,5,showthread.php?t=20059766
143,5,showthread.php?t=20069499
144,5,showthread.php?t=20064587
145,5,showthread.php?t=20069003
146,5,showthread.php?t=20069456
147,5,showthread.php?t=20069330
148,5,showthread.php?t=20069453
149,5,showthread.php?t=20069343
150,5,showthread.php?t=20069232
151,5,showthread.php?t=20069416
152,5,showthread.php?t=19564146
153,5,showthread.php?t=20068939
154,5,showthread.php?t=20069332
155,5,showthread.php?t=20069245
156,6,showthread.php?t=20062813
157,6,showthread.php?t=20066970
158,6,showthread.php?t=20068977
